name,parent,x,y,z,qx,qy,qz,qw
index_01_r,55,-5.87720537,0.04341236,-0.24095164,-0.00000000,0.00000000,0.20255656,-0.97927056
index_02_r,56,-4.07993269,-0.00000504,0.00003211,-0.00000000,0.00000000,0.12959664,-0.99156680
index_03_r,57,-2.59507632,-0.00003960,-0.00000356,-0.00000000,-0.00000000,0.10900915,-0.99404075
thumb_01_r,42,-1.99283254,1.35665715,2.58132553,0.50519330,-0.36912990,-0.06703909,-0.77719278
thumb_02_r,59,-4.37782478,-0.00042713,-0.00013575,0.03356521,0.01030245,0.20185571,-0.97878573
thumb_03_r,60,-3.08595228,0.00001485,0.00004583,-0.00000000,0.00000000,0.08715574,-0.99619470
upperarm_twist_01_r,38,-9.25689793,-0.00001020,-0.00010078,-0.00005356,0.01879018,-0.00284969,-0.99981939
upperarm_twist_02_r,38,-18.51379585,-0.00002041,-0.00020157,0.00000000,0.00000000,-0.00000000,-1.00000000
thigh_r,1,-2.36572623,0.11948779,9.96909142,0.02946205,-0.07240500,0.99651908,-0.02896949
calf_r,64,43.34126282,-0.00000000,0.00000000,0.00000000,0.00000000,-0.04366162,-0.99904638
foot_r,65,42.21794891,0.00000000,0.00000000,-0.00066566,-0.02687711,0.02323930,-0.99936836
ball_r,66,7.00943661,-15.23759460,-0.53894562,-0.00000000,0.00000000,-0.70710678,-0.70710678
calf_twist_02_r,65,14.07264996,-0.00000000,0.03772895,-0.00009300,-0.00225134,0.02324864,-0.99972717
calf_twist_01_r,65,28.14529991,-0.00000000,0.07545790,-0.00009300,-0.00225134,0.02324864,-0.99972717
thigh_twist_01_r,64,14.44708729,-0.00000000,0.00000000,0.00002571,-0.00225311,-0.01140807,-0.99993239
thigh_twist_02_r,64,28.89417458,-0.00000000,-0.00000000,0.00002571,-0.00225311,-0.01140807,-0.99993239
thigh_l,1,-2.36571121,0.11004376,-9.96920300,0.07240500,0.02946205,-0.02896949,-0.99651908
calf_l,72,-43.34130859,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.04366162,-0.99904638
foot_l,73,-42.21791458,0.00000000,0.00000000,-0.00066566,-0.02687711,0.02323930,-0.99936836
ball_l,74,-7.00943661,15.23758888,0.53888744,-0.00000000,0.00000000,-0.70710678,-0.70710678
calf_twist_02_l,73,-14.07263851,-0.00000000,0.00000000,-0.00009300,-0.00225134,0.02324864,-0.99972717
calf_twist_01_l,73,-28.14527702,-0.00000507,-0.07544811,-0.00009300,-0.00225134,0.02324864,-0.99972717
thigh_twist_01_l,72,-14.44710255,0.00000000,0.00000000,0.00002571,-0.00225311,-0.01140807,-0.99993239
thigh_twist_02_l,72,-28.89420509,0.00000227,-0.00000807,0.00002571,-0.00225311,-0.01140807,-0.99993239
ik_foot_root,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-1.00000000
ik_foot_l,80,14.08767128,-0.99425751,8.23763752,0.06363157,0.70424662,0.04137553,-0.70588652
ik_foot_r,80,-14.08755875,-0.98483455,8.23823166,0.70588652,0.04137553,-0.70424662,0.06363157
ik_hand_root,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-1.00000000
ik_hand_gun,83,-47.76831818,15.69880486,104.46643066,0.59846038,0.00964933,0.52059955,-0.60887451
ik_hand_l,84,43.73357010,61.66984940,58.40811157,-0.45776606,-0.64550907,-0.61136592,0.00000000
ik_hand_r,84,-0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-1.00000000
interaction,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-1.00000000
center_of_mass,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-1.00000000
